key_id,year,lead_unit_code,lead_unit_name,dare_lead,investigator_entry,investigator_name,investigator_role,investigator_unit_code,investigator_last,investigator_first,investigator_person_key,parse_success,roster_last,roster_first,roster_area,dare_roster_match
K000162479,2025,1177,Agricultural Biology,FALSE,"Nalam,Vamsi (Co-PI) 1177","Nalam,Vamsi",Co-PI,1177,Nalam,Vamsi,nalam|v,TRUE,,,,FALSE
K000162518,2025,1172,Agricultural + Resource Economics,TRUE,"Burkhardt,Jesse Brodie (Primary PI) 1172","Burkhardt,Jesse Brodie",Primary PI,1172,Burkhardt,Jesse Brodie,burkhardt|j,TRUE,Burkhardt,Jesse,ENRE,TRUE
K000162541,2025,1172,Agricultural + Resource Economics,TRUE,"Burkhardt,Jesse Brodie (Primary PI) 1172","Burkhardt,Jesse Brodie",Primary PI,1172,Burkhardt,Jesse Brodie,burkhardt|j,TRUE,Burkhardt,Jesse,ENRE,TRUE
K000162541,2025,1172,Agricultural + Resource Economics,TRUE,"Pallickara,Shrideep (Co-PI) 1873","Pallickara,Shrideep",Co-PI,1873,Pallickara,Shrideep,pallickara|s,TRUE,,,,FALSE
K000162541,2025,1172,Agricultural + Resource Economics,TRUE,"Pallickara,Sangmi Lee (Co-PI) 1873","Pallickara,Sangmi Lee",Co-PI,1873,Pallickara,Sangmi Lee,pallickara|s,TRUE,,,,FALSE
K000162541,2025,1172,Agricultural + Resource Economics,TRUE,"Wu,Dien (Co-PI) 1371","Wu,Dien",Co-PI,1371,Wu,Dien,wu|d,TRUE,,,,FALSE
K000162541,2025,1172,Agricultural + Resource Economics,TRUE,"Fischer,Emily V (Co-PI) 1371","Fischer,Emily V",Co-PI,1371,Fischer,Emily V,fischer|e,TRUE,,,,FALSE
K000162545,2025,1173,Horticulture + Landscape Architecture,FALSE,"Miller,Chad (Primary PI) 1173","Miller,Chad",Primary PI,1173,Miller,Chad,miller|c,TRUE,,,,FALSE
K000162579,2025,1177,Agricultural Biology,FALSE,"Timm,Alicia Eva (Primary PI) 1177","Timm,Alicia Eva",Primary PI,1177,Timm,Alicia Eva,timm|a,TRUE,,,,FALSE
K000162662,2025,1170,Soil + Crop Sciences,FALSE,"Jones-Diamond,Sally Marie (Primary PI) 1170","Jones-Diamond,Sally Marie",Primary PI,1170,Jones-Diamond,Sally Marie,jones diamond|s,TRUE,,,,FALSE
K000162664,2025,1171,Animal Sciences,FALSE,"Manriquez Alvarez,Diego Ignacio (Primary PI) 1171","Manriquez Alvarez,Diego Ignacio",Primary PI,1171,Manriquez Alvarez,Diego Ignacio,manriquez alvarez|d,TRUE,,,,FALSE
K000162715,2025,1170,Soil + Crop Sciences,FALSE,"Jones-Diamond,Sally Marie (Primary PI) 1170","Jones-Diamond,Sally Marie",Primary PI,1170,Jones-Diamond,Sally Marie,jones diamond|s,TRUE,,,,FALSE
K000162715,2025,1170,Soil + Crop Sciences,FALSE,"Schneekloth,Joel (Co-PI) 1033","Schneekloth,Joel",Co-PI,1033,Schneekloth,Joel,schneekloth|j,TRUE,,,,FALSE
